"Nombre d'incendies suivant les critères de sélection : 2682"
"Critères de sélection =>";"Date de première alerte, de : 2023-01-01 00:00:00";"Date de première alerte, jusqu'à : 2023-12-31 23:59:00";"France entière";"Type de feu : F"
Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Type de peuplement";Nature;"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Précision de la donnée"
2023;9664;"2B";"2B046";"Cagnano";"2023-01-01 10:05:00";100;0;100;0;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2023;9282;"88";"88148";"Dommartin-lès-Remiremont";"2023-01-01 15:29:00";2;2;;0;0;0;;;;;"Estimées";;;;;;;""
2023;17212;"40";"40132";"Labatut";"2023-01-01 17:54:00";1000;1000;;0;0;0;;;;;"Estimées";;"Accidentelle";"Non";0;0;0;""
2023;22382;"64";"64271";"Iholdy";"2023-01-01 18:11:35";10000;10000;;0;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2023;21346;"83";"83152";"Rayol-Canadel-sur-Mer";"2023-01-02 20:59:00";35;0;35;0;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";0;0;0;"Données partielles ou non valides"
2023;21347;"83";"83056";"Figanières";"2023-01-03 15:15:00";2;0;2;0;0;0;;;;;"Estimées";;;"Non";0;0;0;"Données partielles ou non valides"
2023;550;"2A";"2A326";"Tolla";"2023-01-04 11:37:00";200;0;200;0;0;0;;;;;"Estimées";"1";"Involontaire (particulier)";"Non";;;;""
2023;13847;"66";"66190";"Salses-le-Château";"2023-01-04 13:14:00";5000;0;5000;0;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";;;;""
2023;22385;"64";"64306";"Lahourcade";"2023-01-05 11:57:34";10;10;;0;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2023;1270;"13";"13106";"Septèmes-les-Vallons";"2023-01-05 16:55:00";1000;1000;0;0;0;0;;;;;"Mesurées";"1";"Accidentelle";"Non";;;;""
2023;14926;"31";"31556";"Les Tourreilles";"2023-01-05 18:51:00";5000;5000;;0;0;0;;;;;"Estimées";;;"Non";;;;""
2023;2776;"32";"32312";"Pessan";"2023-01-06 14:04:00";10000;10000;;0;0;0;;;;;"Estimées";;;"Non";;;;""
2023;224;"2B";"2B341";"Venaco";"2023-01-06 14:27:00";100;100;0;0;0;0;;;;;"Estimées";"3";;"Non";;;;""
2023;225;"2B";"2B138";"Lavatoggio";"2023-01-06 15:38:00";500;100;0;400;0;0;;;;;"Estimées";"1";;"Non";;;;""
2023;1271;"13";"13022";"Cassis";"2023-01-06 20:15:00";20;20;0;0;0;0;;;;;"Estimées";"1";"Accidentelle";"Non";;;;""
2023;21349;"83";"83002";"Aiguines";"2023-01-07 15:09:00";100000;0;100000;0;0;0;;;;;"Estimées";;"Accidentelle";"Non";0;0;0;"Données partielles ou non valides"
2023;226;"2B";"2B063";"Carcheto-Brustico";"2023-01-08 11:08:00";5000;0;5000;0;0;0;;;;;"Estimées";"1";;"Non";;;;""
2023;234;"2B";"2B150";"Lumio";"2023-01-08 12:26:00";100;0;100;0;0;0;;;;;"Estimées";"1";;"Non";;;;""
2023;239;"2B";"2B286";"Sorbo-Ocagnano";"2023-01-11 16:33:00";3000;0;3000;0;0;0;;;;;"Estimées";"1";;"Non";;;;""
